date	mag	err
2450944.9763	-1.1	0.005
2450945.9707	-1.085	0.005
2450946.9685	-1.058	0.005
2450970.9561	-1.147	0.005
2450972.9607	-1.163	0.005
2450991.9646	-1.194	0.005
2450992.9655	-1.185	0.005
2451085.7783	-1.222	0.005
2451086.7757	-1.233	0.005
2451087.7752	-1.237	0.005
2451088.7964	-1.24	0.005
2451089.7705	-1.245	0.005
2451089.9411	-1.244	0.005
2451090.7656	-1.24	0.005
2451093.8135	-1.237	0.005
2451094.8422	-1.241	0.005
2451095.8102	-1.235	0.005
2451096.8102	-1.237	0.005
2451097.8096	-1.236	0.005
2451098.8172	-1.23	0.005
2451099.8136	-1.222	0.005
2451101.8088	-1.201	0.005
2451102.8103	-1.191	0.005
2451103.8146	-1.17	0.005
2451104.8087	-1.157	0.005
2451105.8073	-1.139	0.005
2451106.7587	-1.13	0.005
2451110.7952	-1.039	0.005
2451113.7747	-1.006	0.005
2451114.7661	-0.997	0.005
2451115.7785	-0.989	0.005
2451116.7631	-0.991	0.005
2451118.7441	-0.998	0.005
2451119.7508	-1.009	0.005
2451120.7611	-1.016	0.005
2451121.7644	-1.023	0.005
2451122.7598	-1.029	0.005
2451123.7539	-1.045	0.005
2451124.7438	-1.061	0.005
2451125.7562	-1.07	0.005
2451128.7529	-1.127	0.005
2451131.7456	-1.167	0.005
2451132.7418	-1.186	0.005
2451133.7399	-1.196	0.005
2451134.7401	-1.22	0.005
2451135.7343	-1.217	0.005
2451136.7342	-1.221	0.005
2451138.7319	-1.242	0.005
2451139.7275	-1.241	0.005
2451142.7102	-1.236	0.005
2451143.709	-1.233	0.005
2451144.6975	-1.242	0.005
2451148.6983	-1.241	0.005
2451151.6938	-1.238	0.005
2451152.6881	-1.225	0.005
2451155.6874	-1.194	0.005
2451156.6807	-1.176	0.005
2451157.682	-1.157	0.005
2451159.6721	-1.127	0.005
2451160.6793	-1.115	0.005
2451161.6709	-1.096	0.005
2451163.7497	-1.071	0.005
2451166.6703	-1.024	0.005
2451167.6624	-1.023	0.005
2451168.6605	-1.023	0.005
2451169.6447	-1.009	0.005
2451172.6376	-1.009	0.005
2451173.6298	-1.014	0.005
2451175.6508	-1.024	0.005
2451176.6609	-1.044	0.005
2451177.6583	-1.062	0.005
2451178.66	-1.074	0.005
2451179.6554	-1.086	0.005
2451180.6522	-1.12	0.005
2451181.6525	-1.138	0.005
2451182.6592	-1.142	0.005
2451183.6559	-1.167	0.005
2451186.6661	-1.204	0.005
2451187.6555	-1.218	0.005
2451188.6521	-1.233	0.005
2451191.65	-1.245	0.005
2451193.6472	-1.243	0.005
2451196.6436	-1.247	0.005
2451197.6405	-1.247	0.005
2451198.6371	-1.251	0.005
2451201.6222	-1.249	0.005
2451206.6152	-1.213	0.005
2451209.607	-1.178	0.005
2451211.6081	-1.146	0.005
2451212.605	-1.139	0.005
2451215.5915	-1.096	0.005
2451216.5936	-1.08	0.005
2451218.5923	-1.039	0.005

